Race,type,length_km,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns,lengthxturns
Australian Grand Prix,Street-Park,5.278,3,4,Medium,Medium,7,14,73.892
Chinese Grand Prix,Permanent,5.451,2,3,Medium,Medium,8,16,87.216
Japanese Grand Prix,Permanent,5.807,1,3,Low,High,6,18,104.526
Miami Grand Prix,Street-Park,5.412,3,4,Medium,Medium,7,19,102.828
Canadian Grand Prix,Street-Park,4.361,2,3,Low,Low,8,13,56.693
Monaco Grand Prix,Street,3.337,1,1,Low,High,3,19,63.403
Spanish Grand Prix,Permanent,4.657,2,3,High,Medium-High,6,12,55.884
Austrian Grand Prix,Permanent,4.318,3,4,Medium,Low-Medium,8,10,43.18
British Grand Prix,Permanent,5.891,2,4,High,Medium-High,7,18,106.038
Belgian Grand Prix,Permanent,7.004,2,3,Medium,Medium,8,19,133.076
Hungarian Grand Prix,Permanent,4.381,1,2,Medium,High,4,14,61.334
Dutch Grand Prix,Permanent,4.259,2,3,High,High,5,14,59.626
Italian Grand Prix,Permanent,5.793,2,4,Low,Low,10,11,63.723
Madrid Grand Prix,Street,5.4,2,2,Medium,Medium,7,22,118.8
Azerbaijan Grand Prix,Street,6.003,2,4,Low,Medium,9,20,120.06
Singapore Grand Prix,Street,4.94,3,4,Medium,High,5,19,93.86
United States Grand Prix,Permanent,5.513,2,3,High,Medium-High,7,20,110.26
Mexico City Grand Prix,Permanent,4.304,3,4,Low,Low,8,17,73.168
São Paulo Grand Prix,Permanent,4.309,2,3,Medium,Medium,7,15,64.635
Las Vegas Grand Prix,Street,6.12,3,5,Low,Low,9,17,104.04
Qatar Grand Prix,Permanent,5.38,2,3,Very High,Medium-High,7,16,86.08
Abu Dhabi Grand Prix,Permanent,5.281,2,3,Low,Medium,7,16,84.496
Bahrain Grand Prix,Permanent,5.412,3,4,High,Medium,7,15,81.18
Saudi Arabian Grand Prix,Street,6.174,3,5,Low,Low,9,27,166.698
Emilia Romagna Grand Prix,Permanent,4.909,1,2,Medium,Medium-High,6,19,93.271
French Grand Prix,Permanent,5.842,2,4,High,Medium,7,15,87.63
Barcelona Grand Prix,Permanent,4.657,2,3,High,Medium-High,6,12,55.884
Eifel Grand Prix,Permanent,5.148,2,3,Medium,Medium,6,15,77.22
Tuscan Grand Prix,Permanent,5.245,1,2,High,High,5,15,78.675
Portuguese Grand Prix,Permanent,4.653,2,4,Medium,Medium,7,15,69.795
Turkish Grand Prix,Permanent,5.338,2,3,Medium,Medium,6,14,74.732
Sakhir Grand Prix,Permanent,3.543,2,4,Low,Low,10,11,38.973
Russian Grand Prix,Permanent,5.848,2,4,Low,Low-Medium,8,18,105.264
German Grand Prix,Permanent,4.574,2,4,Medium,Medium,8,17,77.758
