Race,type,length_km,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns,longest_straight_km
Australian Grand Prix,Street-Park,5.278,3,4,Medium,Medium,7,14,1.3
Chinese Grand Prix,Permanent,5.451,2,3,Medium,Medium,8,16,1.17
Japanese Grand Prix,Permanent,5.807,1,3,Low,High,6,18,1.2
Miami Grand Prix,Street-Park,5.412,3,4,Medium,Medium,7,19,1.2
Canadian Grand Prix,Street-Park,4.361,2,3,Low,Low,8,13,1.19
Monaco Grand Prix,Street,3.337,1,1,Low,High,3,19,0.54
Spanish Grand Prix,Permanent,4.657,2,3,High,Medium-High,6,12,1.05
Austrian Grand Prix,Permanent,4.318,3,4,Medium,Low-Medium,8,10,0.92
British Grand Prix,Permanent,5.891,2,4,High,Medium-High,7,18,0.76
Belgian Grand Prix,Permanent,7.004,2,3,Medium,Medium,8,19,1.05
Hungarian Grand Prix,Permanent,4.381,1,2,Medium,High,4,14,0.91
Dutch Grand Prix,Permanent,4.259,2,3,High,High,5,14,0.69
Italian Grand Prix,Permanent,5.793,2,4,Low,Low,10,11,1.22
Madrid Grand Prix,Street,5.4,2,2,Medium,Medium,7,22,0.84
Azerbaijan Grand Prix,Street,6.003,2,4,Low,Medium,9,20,2.2
Singapore Grand Prix,Street,4.94,3,4,Medium,High,5,19,0.8
United States Grand Prix,Permanent,5.513,2,3,High,Medium-High,7,20,1.02
Mexico City Grand Prix,Permanent,4.304,3,4,Low,Medium-High,8,17,1.29
São Paulo Grand Prix,Permanent,4.309,2,3,Medium,Medium,7,15,1.23
Las Vegas Grand Prix,Street,6.12,3,5,Low,Low,9,17,1.92
Qatar Grand Prix,Permanent,5.38,2,3,Very High,Medium-High,7,16,1.07
Abu Dhabi Grand Prix,Permanent,5.281,2,3,Low,Medium,7,16,1.14
Bahrain Grand Prix,Permanent,5.412,3,4,High,Medium,7,15,1.09
Saudi Arabian Grand Prix,Street,6.174,3,5,Low,Low,9,27,0.85
Emilia Romagna Grand Prix,Permanent,4.909,1,2,Medium,Medium-High,6,19,1.1
French Grand Prix,Permanent,5.842,2,4,High,Medium,7,15,0.9
Barcelona Grand Prix,Permanent,4.657,2,3,High,Medium-High,6,12,1.05
Eifel Grand Prix,Permanent,5.148,2,3,Medium,Medium,6,15,0.7
Tuscan Grand Prix,Permanent,5.245,1,2,High,High,5,15,1.14
Portuguese Grand Prix,Permanent,4.653,2,4,Medium,Medium,7,15,0.97
Turkish Grand Prix,Permanent,5.338,2,3,Medium,Medium,6,14,0.72
Sakhir Grand Prix,Permanent,3.543,2,4,Low,Low,10,11,1.09
Russian Grand Prix,Permanent,5.848,2,4,Low,Low-Medium,8,18,0.65
German Grand Prix,Permanent,4.574,2,4,Medium,Medium,8,17,1.04
