Year,Round,Race,TopSpeed,AvgSpeed,FullThrottleTime,MostCommonGear,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,type,length_km,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns,longest_straight_km,reg,new_reg
2026,10,Belgian Grand Prix,336.7904055,232.4871859,67.69550989,6,21.77627027,36.02339441,55.08915644,966.2171505,FALSE,Permanent,7.004,2,3,Medium,Medium,8,19,1.05,C,Y
2026,11,Hungarian Grand Prix,325.1269987,200.9867742,41.48247316,3,26.24639652,43.62865385,31.15338828,984.758979,FALSE,Permanent,4.381,1,2,Medium,High,4,14,0.91,C,Y
2026,12,Dutch Grand Prix,329.4853032,215.8147122,39.93260273,5,22.49067349,31.46505882,59.7468206,1007.009689,FALSE,Permanent,4.259,2,3,High,High,5,14,0.69,C,Y
2026,13,Italian Grand Prix,349.6373095,257.416267,59.56537819,7,28.95985476,42.79981743,37.05229634,996.0642405,FALSE,Permanent,5.793,2,4,Low,Low,10,11,1.22,C,Y
2026,14,Madrid Grand Prix,332.4521905,214.1584382,52.00636928,6,31.20077751,49.62182801,41.41296352,1004.018082,FALSE,Street,5.4,2,3,Medium,Medium,7,22,0.84,C,Y
2026,15,Azerbaijan Grand Prix,339.0575062,205.3003723,61.38408166,3,23.01483684,32.77207669,61.21582224,1014.251793,FALSE,Street,6.003,2,4,Low,Medium,9,20,2.2,C,Y
2026,16,Singapore Grand Prix,317.0582326,191.394979,47.44301962,3,29.60527962,33.69238125,75.17364995,1009.611652,FALSE,Street,4.94,3,4,Medium,High,5,19,0.8,C,Y
2026,17,United States Grand Prix,327.2182025,205.7910309,53.43590193,4,31.99633161,40.29100264,31.08116273,994.7545685,FALSE,Permanent,5.513,2,3,High,Medium-High,7,20,1.02,C,Y
2026,18,Mexico City Grand Prix,352.6601104,196.4328505,36.56209085,4,24.89618946,44.52199668,32.84104938,782.0200855,FALSE,Permanent,4.304,3,4,Low,Medium-High,8,17,1.29,C,Y
2026,19,São Paulo Grand Prix,337.9739027,212.8323391,39.69267869,3,23.69649041,32.17680706,55.18095398,921.985492,FALSE,Permanent,4.309,2,3,Medium,Medium,7,15,1.23,C,Y
2026,20,Las Vegas Grand Prix,343.9275744,224.2849722,59.41861678,7,12.89692576,14.49857685,51.11985655,943.1726787,FALSE,Street,6.12,3,5,Low,Low,9,17,1.92,C,Y
2026,21,Qatar Grand Prix,326.798369,234.8582061,54.09720331,6,23.57640365,27.19581678,63.33576285,1013.584098,FALSE,Permanent,5.38,2,3,Very High,Medium-High,7,16,1.07,C,Y
2026,22,Abu Dhabi Grand Prix,330.2410034,223.2473359,54.05394995,6,26.60089051,31.14296218,69.63110756,1015.921995,FALSE,Permanent,5.281,2,3,Low,Medium,7,16,1.14,C,Y
