Year,Round,Race,PoleTime,TopSpeed,AvgSpeed,FullThrottleTime,MostCommonGear,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,type,length_km,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns,longest_straight_km,reg,new_reg
2019,2,Bahrain Grand Prix,87.866,328,220.739011,56.642,6,25.08846154,28.98205128,53.83205128,1010.248718,FALSE,Permanent,5.412,3,4,High,Medium,7,15,1.09,A,N
2019,3,Chinese Grand Prix,91.547,320,214.1253333,54.078,3,20.57088608,33.96455696,48.42025316,1015.783544,FALSE,Permanent,5.451,2,3,Medium,Medium,8,16,1.17,A,N
2019,4,Azerbaijan Grand Prix,100.495,331,213.7836538,64.325,8,15.89848485,31.92575758,72.2,1023.359848,FALSE,Street,6.003,2,4,Low,Medium,9,20,2.2,A,N
2019,6,Monaco Grand Prix,70.166,291,168.7854671,30.241,2,21.43896104,42.41038961,63.34155844,1014.396104,FALSE,Street,3.337,1,1,Low,High,3,19,0.54,A,N
2019,7,Canadian Grand Prix,70.24,334,221.9827586,43.559,8,22.5,48.0212766,22.35,1022.084043,FALSE,Street-Park,4.361,2,3,Low,Low,8,13,1.19,A,N
2019,8,French Grand Prix,88.319,340,235.6236264,54.762,8,26.27051282,54.03333333,45.78846154,965.0217949,FALSE,Permanent,5.842,2,4,High,Medium,7,15,0.9,A,N
2019,9,Austrian Grand Prix,63.003,330,247.1406844,44.681,8,29.65128205,50.98205128,27.09615385,941.8884615,FALSE,Permanent,4.318,3,4,Medium,Low-Medium,8,10,0.92,A,N
2019,10,British Grand Prix,85.093,328,247.6324786,60.839,8,19,29.51139241,67.69873418,1005.189873,FALSE,Permanent,5.891,2,4,High,Medium-High,7,18,0.76,A,N
2019,11,German Grand Prix,71.767,325,229.8881356,46.879,7,28.32307692,44.02564103,51.68589744,990.0705128,FALSE,Permanent,4.574,2,4,Medium,Medium,8,17,1.04,A,N
2019,12,Hungarian Grand Prix,74.572,312,210.8925081,44.364,4,23.93164557,42.86075949,51.70506329,982.3329114,FALSE,Permanent,4.381,1,2,Medium,High,4,14,0.91,A,N
2019,13,Belgian Grand Prix,102.519,345,244.2230047,65.602,8,29.23804348,41.25434783,36.51413043,964.1293478,FALSE,Permanent,7.004,2,3,Medium,Medium,8,19,1.05,A,N
2019,14,Italian Grand Prix,79.307,354,262.6102719,56.319,8,22.98421053,37.29578947,51.20947368,992.6757895,FALSE,Permanent,5.793,2,4,Low,Low,10,11,1.22,A,N
2019,16,Russian Grand Prix,91.628,330,229.1644562,59.681,8,22.05764706,30.75058824,60.34117647,1016.378824,FALSE,Permanent,5.848,2,4,Low,Low-Medium,8,18,0.65,A,N
2019,17,Japanese Grand Prix,87.064,333,239.9068493,58.28,8,22.071875,35.74895833,61.36666667,1008.432292,FALSE,Permanent,5.807,1,3,Low,High,6,18,1.2,A,N
2019,18,Mexico City Grand Prix,74.758,350,204.5540984,36.964,3,20.55128205,34.99358974,56.84615385,781.1717949,FALSE,Permanent,4.304,3,4,Low,Medium-High,8,17,1.29,A,N
2019,19,United States Grand Prix,92.029,325,213.5,55.243,7,20.45949367,26.36962025,25.00379747,1008.287342,FALSE,Permanent,5.513,2,3,High,Medium-High,7,20,1.02,A,N
2019,20,São Paulo Grand Prix,67.503,333,227.1366906,41.561,8,20.68205128,33.88974359,66.54871795,922.6730769,FALSE,Permanent,4.309,2,3,Medium,Medium,7,15,1.23,A,N
2019,21,Abu Dhabi Grand Prix,94.779,323,209.0051414,55.239,3,25.94683544,30.37721519,64.22025316,1016.567089,FALSE,Permanent,5.281,2,3,Low,Medium,7,16,1.14,A,N
2020,2,Austrian Grand Prix,77.825,300,198.203125,36.441,7,14.83902439,19.91138211,89.77154472,942.5390244,TRUE,Permanent,4.318,3,4,Medium,Low-Medium,8,10,0.92,A,N
2020,3,Hungarian Grand Prix,73.447,318,213.1096774,42.12,6,18.78311688,27.25454545,71.4987013,987.8467532,FALSE,Permanent,4.381,1,2,Medium,High,4,14,0.91,A,N
2020,5,British Grand Prix,85.154,332,247,60,8,26.20512821,41.7974359,53.35641026,1003.520513,FALSE,Permanent,5.891,2,4,High,Medium-High,7,18,0.76,A,N
2020,7,Belgian Grand Prix,101.252,328,248.4004796,71.96,8,16.44936709,24.57974684,62.8443038,957.7670886,FALSE,Permanent,7.004,2,3,Medium,Medium,8,19,1.05,A,N
2020,8,Italian Grand Prix,78.887,340,263.8030769,60.079,8,29.16710526,45.32236842,43.59736842,995.7368421,FALSE,Permanent,5.793,2,4,Low,Low,10,11,1.22,A,N
2020,9,Tuscan Grand Prix,75.144,314,251.0546624,54.361,7,29.36233766,45.14935065,40.42987013,987.8961039,FALSE,Permanent,5.245,1,2,High,High,5,15,1.14,A,N
2020,10,Russian Grand Prix,91.304,333,229.8484043,60.238,7,25.81910112,32.92247191,56.73370787,1009.591011,FALSE,Permanent,5.848,2,4,Low,Low-Medium,8,18,0.65,A,N
2020,11,Eifel Grand Prix,85.269,321,216.2017045,50.003,7,9.396,18.16533333,56.54266667,949.1546667,FALSE,Permanent,5.148,2,3,Medium,Medium,6,15,0.7,A,N
2020,12,Portuguese Grand Prix,76.652,322,217.2083333,48.402,7,21.3037037,35.3787037,48.75833333,1013.674074,FALSE,Permanent,4.653,2,4,Medium,Medium,7,15,0.97,A,N
2020,13,Emilia Romagna Grand Prix,73.609,328,239.2233333,53.121,7,19.25194805,25.1987013,65.52077922,1018.167532,FALSE,Permanent,4.909,1,2,Medium,Medium-High,6,19,1.1,A,N
2020,14,Turkish Grand Prix,107.765,298,175.1609977,36.12,3,12.1375,13.50234375,89.8546875,1007.915625,TRUE,Permanent,5.338,2,3,Medium,Medium,6,14,0.72,A,N
2020,15,Bahrain Grand Prix,87.264,320,221.8916667,56.76,7,26.25232558,27.89883721,56.71860465,1016.101163,FALSE,Permanent,5.412,3,4,High,Medium,7,15,1.09,A,N
2020,16,Sakhir Grand Prix,53.377,328,236.6877828,36.241,8,24.01428571,26.92857143,77.4012987,1012.020779,FALSE,Permanent,3.543,2,4,Low,Low,10,11,1.09,A,N
2020,17,Abu Dhabi Grand Prix,95.246,321,207.9566327,56.799,3,23.39240506,28.8164557,61.5721519,1016.286076,FALSE,Permanent,5.281,2,3,Low,Medium,7,16,1.14,A,N
2021,1,Bahrain Grand Prix,88.997,315,218.3423181,56.119,6,29.06025641,33.84358974,46.54487179,1009.65,FALSE,Permanent,5.412,3,4,High,Medium,7,15,1.09,A,N
2021,2,Emilia Romagna Grand Prix,74.411,322,237.6688312,53.28,7,13.68522727,26.88977273,41.97613636,1010.3125,FALSE,Permanent,4.909,1,2,Medium,Medium-High,6,19,1.1,A,N
2021,3,Portuguese Grand Prix,78.348,314,212.9104938,46.96,7,18.10128205,37.18076923,41.70769231,1005.607692,FALSE,Permanent,4.653,2,4,Medium,Medium,7,15,0.97,A,N
2021,5,Monaco Grand Prix,70.346,287,168.225256,31.162,2,18.74487179,32.7474359,72.33461538,1013.026923,FALSE,Street,3.337,1,1,Low,High,3,19,0.54,A,N
2021,6,Azerbaijan Grand Prix,101.218,333,211.6357143,62.165,8,26.03434343,47.27070707,47.55555556,1013.322222,FALSE,Street,6.003,2,4,Low,Medium,9,20,2.2,A,N
2021,7,French Grand Prix,89.99,329,230.9438503,54.202,8,29.29772727,44.32386364,44.98863636,966.5556818,FALSE,Permanent,5.842,2,4,High,Medium,7,15,0.9,A,N
