Year,Round,Race,PoleTime,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,type,length_km,avg_speed_kmh,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns
2022,1,Bahrain Grand Prix,90.558,19.43589744,25.40384615,55.6025641,1013.682051,FALSE,Permanent,5.412,213,3,4,High,Medium,7,15
2022,2,Saudi Arabian Grand Prix,88.2,23.48041958,25.36433566,58.68531469,1014.342657,FALSE,Street,6.174,254,3,5,Low,Low,9,27
2022,3,Australian Grand Prix,77.868,23.23783784,29.15225225,57.65765766,1017.348649,FALSE,Street-Park,5.278,231,3,4,Medium,Medium,7,14
2022,4,Emilia Romagna Grand Prix,78.793,12.43982301,14.31238938,86.44247788,997.7274336,TRUE,Permanent,4.909,234,1,2,Medium,Medium-High,6,19
2022,5,Miami Grand Prix,88.796,33.21,51.20875,39.3875,1008.54,FALSE,Street-Park,5.412,221,3,4,Medium,Medium,7,19
2022,6,Spanish Grand Prix,78.75,34.67051282,47.19871795,18.76923077,1003.371795,FALSE,Permanent,4.657,203,2,3,High,Medium-High,6,12
2022,7,Monaco Grand Prix,71.376,26.71234568,48.44444444,46.14814815,1003.701235,FALSE,Street,3.337,161,1,1,Low,High,3,19
2022,8,Azerbaijan Grand Prix,101.359,24.82477876,35.17522124,68.23893805,1015.619469,FALSE,Street,6.003,210,2,4,Low,Medium,9,20
2022,9,Canadian Grand Prix,81.299,13.49444444,18.12333333,76.3,1006.946667,TRUE,Street-Park,4.361,215,2,3,Low,Low,8,13
2022,10,British Grand Prix,100.19,14.90379747,20.85316456,86.34177215,999.7151899,TRUE,Permanent,5.891,247,2,4,High,Medium-High,7,18
2022,11,Austrian Grand Prix,64.984,19.0010101,35.94949495,34.43434343,946.3232323,FALSE,Permanent,4.318,245,3,4,Medium,Low-Medium,8,10
2022,12,French Grand Prix,90.872,30.51428571,54.81298701,45.22077922,967.8142857,FALSE,Permanent,5.842,226,2,4,High,Medium,7,15
2022,13,Hungarian Grand Prix,77.377,22.2025641,29.80512821,71.08974359,984.3371795,FALSE,Permanent,4.381,214,1,2,Medium,High,4,14
2022,14,Belgian Grand Prix,103.665,15.20666667,20.7,84.80952381,969.0371429,FALSE,Permanent,7.004,239,2,3,Medium,Medium,8,19
2022,15,Dutch Grand Prix,70.342,26.92380952,39.05952381,30.27380952,1010.036905,FALSE,Permanent,4.259,215,2,3,High,High,5,14
2022,16,Italian Grand Prix,80.161,27.60769231,40.26410256,34.70512821,990.775641,FALSE,Permanent,5.793,259,2,4,Low,Low,10,11
2022,17,Singapore Grand Prix,109.412,26.8475,27.78375,81.4125,1009.14375,FALSE,Street,4.94,192,3,4,Medium,High,5,19
2022,18,Japanese Grand Prix,89.304,19.8961039,26.4974026,57.46753247,1014.724675,FALSE,Permanent,5.807,229,1,3,Low,High,6,18
2022,19,United States Grand Prix,94.356,30.04050633,35.86835443,36.81012658,991.0974684,FALSE,Permanent,5.513,209,2,3,High,Medium-High,7,20
2022,20,Mexico City Grand Prix,77.775,25.62948718,48.52820513,36.26923077,782.5807692,FALSE,Permanent,4.304,197,3,4,Low,Low,8,17
2022,21,São Paulo Grand Prix,71.41,19.16419753,26.71358025,93.58024691,924.4481481,TRUE,Permanent,4.309,220,2,3,Medium,Medium,7,15
2022,22,Abu Dhabi Grand Prix,83.824,28.7630137,33.94246575,69.71232877,1014.713699,FALSE,Permanent,5.281,221,2,3,Low,Medium,7,16
2023,1,Bahrain Grand Prix,89.708,23.88,28.08526316,21.65263158,1017.641053,FALSE,Permanent,5.412,213,3,4,High,Medium,7,15
2023,2,Saudi Arabian Grand Prix,88.265,27.02375,31.66625,44.7375,1010.48,FALSE,Street,6.174,254,3,5,Low,Low,9,27
2023,3,Australian Grand Prix,76.732,15.20421053,22.71263158,53.4,1018.930526,TRUE,Street-Park,5.278,231,3,4,Medium,Medium,7,14
2023,4,Azerbaijan Grand Prix,100.203,19.46132075,33.08584906,80.62264151,1011.65283,FALSE,Street,6.003,210,2,4,Low,Medium,9,20
2023,5,Miami Grand Prix,86.841,28.64482759,43.26666667,59.20689655,1017.397701,FALSE,Street-Park,5.412,221,3,4,Medium,Medium,7,19
2023,6,Monaco Grand Prix,71.365,25.58604651,46.49534884,34.6627907,1016.240698,FALSE,Street,3.337,161,1,1,Low,High,3,19
2023,7,Spanish Grand Prix,72.272,20.85340909,24.94090909,71.94318182,1000.636364,TRUE,Permanent,4.657,203,2,3,High,Medium-High,6,12
2023,8,Canadian Grand Prix,79.092,16.46629213,18.45617978,87.71910112,1004.91236,TRUE,Street-Park,4.361,215,2,3,Low,Low,8,13
2023,9,Austrian Grand Prix,64.391,26.7,39.60941176,41.57647059,930.5976471,FALSE,Permanent,4.318,245,3,4,Medium,Low-Medium,8,10
2023,10,British Grand Prix,86.72,21.29787234,22.92659574,78.39361702,999.3968085,TRUE,Permanent,5.891,247,2,4,High,Medium-High,7,18
2023,11,Hungarian Grand Prix,76.609,26.25897436,43.86282051,34.5,987.3423077,FALSE,Permanent,4.381,214,1,2,Medium,High,4,14
2023,12,Belgian Grand Prix,106.168,19.25157895,23.64421053,88.67368421,961.5884211,TRUE,Permanent,7.004,239,2,3,Medium,Medium,8,19
2023,13,Dutch Grand Prix,70.567,17.963,22.432,77.91,1009.405,TRUE,Permanent,4.259,215,2,3,High,High,5,14
2023,14,Italian Grand Prix,80.294,28.17974684,39.42658228,40.84810127,998.9898734,FALSE,Permanent,5.793,259,2,4,Low,Low,10,11
2023,15,Singapore Grand Prix,90.984,29.51909091,34.15272727,77.35454545,1009.78,FALSE,Street,4.94,192,3,4,Medium,High,5,19
2023,16,Japanese Grand Prix,88.877,26.08695652,36.55326087,47.5,1009.395652,FALSE,Permanent,5.807,229,1,3,Low,High,6,18
2023,17,Qatar Grand Prix,83.778,31.41686747,34.38554217,55.80722892,1006.46747,FALSE,Permanent,5.38,237,2,3,Very High,Medium-High,7,16
2023,18,United States Grand Prix,94.723,35.46075949,41.36582278,12.53164557,993.1050633,FALSE,Permanent,5.513,209,2,3,High,Medium-High,7,20
2023,19,Mexico City Grand Prix,77.166,25.8025641,44.11153846,27.1025641,780.2602564,FALSE,Permanent,4.304,197,3,4,Low,Low,8,17
2023,20,São Paulo Grand Prix,70.162,29.37906977,38.33372093,57.3372093,917.4872093,TRUE,Permanent,4.309,220,2,3,Medium,Medium,7,15
2023,21,Las Vegas Grand Prix,92.726,15.1278481,16.88101266,61.06329114,942.2240506,FALSE,Street,6.12,249,3,5,Low,Low,9,17
2023,22,Abu Dhabi Grand Prix,83.445,26.73333333,31.84615385,66.30769231,1014.437179,FALSE,Permanent,5.281,221,2,3,Low,Medium,7,16
2024,1,Bahrain Grand Prix,89.179,18.04935065,21.51428571,46.94805195,1019.064935,FALSE,Permanent,5.412,213,3,4,High,Medium,7,15
2024,2,Saudi Arabian Grand Prix,87.472,25.10638298,30.78617021,56.05319149,1014.804255,FALSE,Street,6.174,254,3,5,Low,Low,9,27
2024,3,Australian Grand Prix,75.915,18.74230769,34.41410256,53.58974359,1024.023077,TRUE,Street-Park,5.278,231,3,4,Medium,Medium,7,14
2024,4,Japanese Grand Prix,88.197,17.53947368,26.71052632,58.10526316,1013.840789,FALSE,Permanent,5.807,229,1,3,Low,High,6,18
2024,5,Chinese Grand Prix,93.66,22.09418605,33.88837209,55.43023256,1007.45,FALSE,Permanent,5.451,222,2,3,Medium,Medium,8,16
2024,6,Miami Grand Prix,87.241,29.06363636,47.29480519,54.87012987,1015.520779,FALSE,Street-Park,5.412,221,3,4,Medium,Medium,7,19
2024,7,Emilia Romagna Grand Prix,74.746,24.188,41.55866667,43.25333333,1008.014667,FALSE,Permanent,4.909,234,1,2,Medium,Medium-High,6,19
2024,8,Monaco Grand Prix,70.27,21.24210526,44.72631579,60.85526316,1016.865789,FALSE,Street,3.337,161,1,1,Low,High,3,19
2024,9,Canadian Grand Prix,71.742,20.55384615,31.11666667,66.88461538,1000.762821,TRUE,Street-Park,4.361,215,2,3,Low,Low,8,13
2024,10,Spanish Grand Prix,71.383,24.08947368,36.53552632,68.35526316,1003.706579,FALSE,Permanent,4.657,203,2,3,High,Medium-High,6,12
